,SPY
52WkHigh,394.17
52WkLow,218.26
askId,P
askPrice,390.48
askSize,100
assetMainType,EQUITY
assetSubType,ETF
assetType,ETF
bidId,P
bidPrice,390.44
bidSize,500
bidTick, 
closePrice,392.39
cusip,78462F103
delayed,False
description,SPDR S&P 500
digits,2
divAmount,5.6184
divDate,2019-12-20 00:00:00.000
divYield,1.43
exchange,p
exchangeName,PACIFIC
highPrice,391.515
lastId,P
lastPrice,390.72
lastSize,1057100
lowPrice,387.74
marginable,True
mark,390.48
markChangeInDouble,-1.91
markPercentChangeInDouble,-0.4868
nAV,0.0
netChange,-1.67
netPercentChangeInDouble,-0.4256
openPrice,389.59
peRatio,0.0
quoteTimeInLong,1613696400056
regularMarketLastPrice,390.72
regularMarketLastSize,2
regularMarketNetChange,-1.67
regularMarketPercentChangeInDouble,-0.4256
regularMarketTradeTimeInLong,1613696400000
securityStatus,Normal
shortable,True
symbol,SPY
totalVolume,59712773
tradeTimeInLong,1613696400000
volatility,0.0055
